context,user_id,movie_id,rate,creationDate,updateOn
ac lobortis vel dapibus at diam nam tristique tortor eu pede,10,1,0,8/7/2020,2/9/2021
eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,7,2,4,7/18/2020,10/21/2020
aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,6,3,0,1/12/2021,1/9/2021
in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,10,4,0,12/19/2020,3/20/2021
erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,7,5,4,5/2/2021,11/23/2020
velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,9,6,9,5/24/2021,3/28/2021
enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris,9,7,2,9/13/2020,12/22/2020
sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,8,8,2,8/15/2020,5/15/2021
leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa,9,9,3,1/29/2021,4/29/2021
ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,9,10,1,3/17/2021,11/19/2020
elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,10,11,5,1/30/2021,2/25/2021
nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel,6,12,6,9/12/2020,7/22/2020
quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,10,13,2,7/13/2020,3/8/2021
fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis,9,14,8,10/19/2020,4/7/2021
auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,8,15,9,10/15/2020,10/13/2020
eleifend donec ut dolor morbi vel lectus in quam fringilla,10,16,0,5/22/2021,5/31/2021
sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,9,17,8,8/23/2020,10/3/2020
suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,10,18,7,7/10/2020,2/2/2021
viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,10,19,8,4/11/2021,10/4/2020
consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus,8,20,5,6/30/2020,2/16/2021
ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,10,21,9,6/3/2020,12/8/2020
duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,10,22,4,1/5/2021,8/4/2020
vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,10,23,5,11/1/2020,1/26/2021
vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,8,24,0,3/20/2021,10/12/2020
tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,8,25,5,9/28/2020,7/7/2020
diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,7,26,9,1/8/2021,7/25/2020
duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,10,27,3,1/5/2021,3/9/2021
ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,10,28,0,12/13/2020,11/28/2020
at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,9,29,6,7/13/2020,12/6/2020
semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus,10,30,3,1/16/2021,7/7/2020
